id,day,soup
1901,2017-07-31,"Italian Wedding (df)"
1902,2017-07-31,"Chicken, Bacon, Local Corn Chowder (gf)"
1903,2017-08-04,"Seafood Chowder (p)"
1904,2017-08-04,"Local Corn Maque Choux"
1905,2017-08-10,"Thai-Style Chicken (gf, df)"
1906,2017-08-10,"Tomato Basil Bisque (v)"
1907,2017-08-16,"Chicken Curry with Basmati Rice (gf, df)"
1908,2017-08-16,"Caldo Verde (gf, df)"
1909,2017-08-08,"Pork Chile Verde (gf, df)"
1910,2017-08-08,"Great Grandma Hoffman’s Beef Ribley (df)"
1911,2017-08-09,"Tomato Basil Bisque (v)"
1912,2017-08-09,"Pork Chile Verde (gf, df)"
1913,2017-08-07,"Great-Grandma Hoffman’s Beef Ribley (df)"
1914,2017-08-07,"Seafood Chowder (p)"
1915,2017-08-02,"SunKing's Smoked Gouda"
1916,2017-08-02,"Chicken Noodle (df)"
1917,2017-08-03,"Local Corn Maque Choux "
1918,2017-08-03,"SunKing's Smoked Gouda"
1919,2017-08-11,"Local Corn, Black Bean, and Chorizo (gf, df)"
1920,2017-08-11,"Thai-Style Chicken (gf, df)"
1921,2017-08-15,"Caldo Verde (gf, df)"
1922,2017-08-15,"Beef Veggie Barley (df)"
1923,2017-08-14,"Beef Veggie Barley (df)"
1924,2017-08-14,"Local Corn, Black Bean and Chorizo (gf, df)"
1925,2017-08-01,"Chicken Noodle (df)"
1926,2017-08-01,"Italian Wedding (df)"
1927,2017-08-21,"Jambalaya(gf, df)"
1928,2017-08-21,"Chicken, Bacon, Local Corn Chowder"
1929,2017-08-17,"Turkey Chili (gf, df)"
1930,2017-08-17,"Chicken Curry with Basmati Rice (gf, df)"
1931,2017-08-18,"Chicken, Bacon, Local Corn Chowder"
1932,2017-08-18,"Turkey Chili (gf, df)"
1933,2017-08-23,"Turkey Noodle (df)"
1934,2017-08-23,"Chicken Tortilla (gf, df)"
1935,2017-08-24,"Greek Lemon Chicken Rice (gf)"
1936,2017-08-24,"Turkey Noodle (df)"
1937,2017-08-25,"Shrimp and Local Corn Chowder (p)"
1938,2017-08-25,"Greek Lemon Chicken Rice (gf)"
1939,2017-08-28,"Jose’s Pork Pozole (gf, df)"
1940,2017-08-28,"Shrimp and Local Corn Chowder (p)"
1941,2017-08-29,"Chicken Velvet"
1942,2017-08-29,"Jose’s Pork Pozole (gf, df)"
1943,2017-08-30,"Lobster Bisque  (p, gf)"
1944,2017-08-30,"Chicken Velvet"
1945,2017-08-31,"Senegalese Peanut Chicken (gf, df)"
1946,2017-08-31,"Lobster Bisque  (p, gf)"
1947,2017-09-01,"Local Corn, Black Bean, and Chorizo (gf, df)"
1948,2017-09-01,"Senegalese Peanut Chicken (gf, df)"
1949,2017-08-22,"Chicken Tortilla (gf, df)"
1950,2017-08-22,"Jambalaya(gf, df)"
2350,2017-09-04,"CLOSED "
2351,2017-09-04,"Happy Labor Day!"
2352,2017-09-05,"Tomato Basil (v)"
2353,2017-09-05,"Local Corn, Black Bean, and Chorizo (gf, df)"
2354,2017-09-06,"Chicken Tortilla (df)"
2355,2017-09-06,"Tomato Basil (v)"
2356,2017-09-07,"Stuffed Green Pepper (gf, df)"
2357,2017-09-07,"Chicken Tortilla (df)"
2358,2017-09-08,"Chicken, Bacon, Local Corn Chowder (gf)"
2359,2017-09-08,"Stuffed Green Pepper (gf, df)"
2360,2017-09-11,"Italian Wedding (df)"
2361,2017-09-11,"Chicken, Bacon, Local Corn Chowder (gf)"
2362,2017-09-12,"Cream of Chicken with Wild Rice"
2363,2017-09-12,"Italian Wedding (df)"
2364,2017-09-13,"Pork Chile Verde (gf, df)"
2365,2017-09-13,"Cream of Chicken with Wild Rice"
2366,2017-09-14,"Roasted Red Pepper and Sweet Potato (gf, df)"
2367,2017-09-14,"Pork Chile Verde (gf, df)"
2368,2017-09-15,"Local Corn, Black Bean, and Chorizo (gf, df)"
2369,2017-09-15,"Roasted Red Pepper and Sweet Potato (gf, df)"
2370,2017-09-18,"Beef Veggie Barley (df)"
2371,2017-09-18,"Local Corn, Black Bean  andChorizo (gf, df)"
2372,2017-09-19,"Thai-Style Chicken with Basmati Rice (gf, df)"
2373,2017-09-19,"Beef Veggie Barley (df)"
2374,2017-09-20,"Lobster Bisque  (p, gf)"
2375,2017-09-20,"Thai-Style Chicken with Basmati Rice (gf, df)"
